Item,Open,Close,Volume
0,0.0057878796098783936,0.007801859186626917,0.2381005869293968
1,0.007858155663914942,0.00972447750490095,0.2452054279776984
2,0.01003306247305727,0.010624518269743144,0.24808650019366238
3,0.008793122562641767,0.009388074575878619,0.20881075039226546
4,0.008588320679244532,0.008686306469517291,0.2193499558966057
5,0.008065187360719345,0.00801350061147263,0.2263671077543864
6,0.007072340779423578,0.0072114838180773605,0.19305593703210305
7,0.005979323069836354,0.0062847055205054875,0.19664548009781396
8,0.004786134231957687,0.0044868487064080725,0.2518717222425901
9,0.0042986165569359885,0.004315306756375939,0.20550460911056073
10,0.0036040671851098743,0.004128164500111012,0.2352195147134328
11,0.0034905376333791566,0.00388310457149367,0.20789987850560143
12,0.0040537394032209295,0.005226484747715032,0.28710583725666
13,0.00377325342500362,0.002388232182646971,0.27801731816138925
14,0.001480364256317479,0.00201618603426601,0.19537699495429206
15,0.0019456178922737238,0.00282042754324828,0.16556764449693026
16,0.0015582781645447075,0.004264063230784529,0.20515375151767168
17,0.0030453182230811976,0.0063916420028623105,0.21947142340697076
18,0.0057878796098783936,0.006128757052425188,0.1461018205606919
19,0.005342660199580435,0.005560662961150362,0.1747506420569592
20,0.005387181458710116,0.004981424819097691,0.15564918704154754
21,0.003430434956404285,0.0026422046221741963,0.1696024900100199
22,0.0014469716072199185,0.0028917208062464866,0.15239702385105652
23,0.001834311334948921,0.0,0.21964683539828103
24,0.0,0.0013055054169947844,0.2319200954854284
25,0.001362381896773665,0.0030654942961465675,0.22074666421446149
26,0.0021326153634198264,0.0039588540899468255,0.19719873872762012
27,0.003599614377296792,0.006164400271783818,0.27270723184080886
28,0.005278104714792481,0.0062512870167338586,0.19512058221589276
29,0.006602634335654237,0.009254400560792117,0.2545773488569753
30,0.008165358489010788,0.010241334894865298,0.4419822233945484
31,0.007346150955421862,0.007489962250466331,0.4621969849438097
32,0.006651608402597001,0.00747213722864655,0.21250824964040374
33,0.006887573121684629,0.006966423889460019,0.2000055994707324
34,0.0062330990201763525,0.0069196366193235576,0.17426483923603592
35,0.006384474028817727,0.009069496668676083,0.2344165653989277
